,size,sparsity,min,max,start,end,hardware
192,750,0.25,10,100,2024-10-03 03:10:34+00:00,2024-10-03 03:10:34+00:00,1_8
193,750,0.25,10,1000,2024-10-03 03:10:34+00:00,2024-10-03 03:10:35+00:00,1_8
194,750,0.25,10,10000,2024-10-03 03:10:35+00:00,2024-10-03 03:10:35+00:00,1_8
195,750,0.25,50,100,2024-10-03 03:10:35+00:00,2024-10-03 03:10:36+00:00,1_8
196,750,0.25,50,1000,2024-10-03 03:10:36+00:00,2024-10-03 03:10:36+00:00,1_8
197,750,0.25,50,10000,2024-10-03 03:10:37+00:00,2024-10-03 03:10:37+00:00,1_8
198,750,0.5,1,100,2024-10-03 03:10:37+00:00,2024-10-03 03:10:38+00:00,1_8
199,750,0.5,1,1000,2024-10-03 03:10:38+00:00,2024-10-03 03:10:38+00:00,1_8
200,750,0.5,1,10000,2024-10-03 03:10:38+00:00,2024-10-03 03:10:39+00:00,1_8
201,750,0.5,10,100,2024-10-03 03:10:39+00:00,2024-10-03 03:10:39+00:00,1_8
202,750,0.5,10,1000,2024-10-03 03:10:39+00:00,2024-10-03 03:10:40+00:00,1_8
203,750,0.5,10,10000,2024-10-03 03:10:40+00:00,2024-10-03 03:10:40+00:00,1_8
204,750,0.5,50,100,2024-10-03 03:10:41+00:00,2024-10-03 03:10:41+00:00,1_8
205,750,0.5,50,1000,2024-10-03 03:10:41+00:00,2024-10-03 03:10:42+00:00,1_8
206,750,0.5,50,10000,2024-10-03 03:10:42+00:00,2024-10-03 03:10:42+00:00,1_8
207,750,0.75,1,100,2024-10-03 03:10:42+00:00,2024-10-03 03:10:43+00:00,1_8
208,750,0.75,1,1000,2024-10-03 03:10:43+00:00,2024-10-03 03:10:43+00:00,1_8
209,750,0.75,1,10000,2024-10-03 03:10:43+00:00,2024-10-03 03:10:44+00:00,1_8
210,750,0.75,10,100,2024-10-03 03:10:44+00:00,2024-10-03 03:10:45+00:00,1_8
211,750,0.75,10,1000,2024-10-03 03:10:45+00:00,2024-10-03 03:10:45+00:00,1_8
212,750,0.75,10,10000,2024-10-03 03:10:45+00:00,2024-10-03 03:10:46+00:00,1_8
213,750,0.75,50,100,2024-10-03 03:10:46+00:00,2024-10-03 03:10:46+00:00,1_8
214,750,0.75,50,1000,2024-10-03 03:10:46+00:00,2024-10-03 03:10:47+00:00,1_8
215,750,0.75,50,10000,2024-10-03 03:10:47+00:00,2024-10-03 03:10:47+00:00,1_8
216,1000,0.0,1,100,2024-10-03 03:10:48+00:00,2024-10-03 03:10:49+00:00,1_8
217,1000,0.0,1,1000,2024-10-03 03:10:49+00:00,2024-10-03 03:10:50+00:00,1_8
218,1000,0.0,1,10000,2024-10-03 03:10:50+00:00,2024-10-03 03:10:51+00:00,1_8
219,1000,0.0,10,100,2024-10-03 03:10:51+00:00,2024-10-03 03:10:52+00:00,1_8
220,1000,0.0,10,1000,2024-10-03 03:10:52+00:00,2024-10-03 03:10:53+00:00,1_8
221,1000,0.0,10,10000,2024-10-03 03:10:53+00:00,2024-10-03 03:10:54+00:00,1_8
222,1000,0.0,50,100,2024-10-03 03:10:55+00:00,2024-10-03 03:10:56+00:00,1_8
223,1000,0.0,50,1000,2024-10-03 03:10:56+00:00,2024-10-03 03:10:57+00:00,1_8
224,1000,0.0,50,10000,2024-10-03 03:10:57+00:00,2024-10-03 03:10:58+00:00,1_8
225,1000,0.25,1,100,2024-10-03 03:10:58+00:00,2024-10-03 03:10:59+00:00,1_8
226,1000,0.25,1,1000,2024-10-03 03:10:59+00:00,2024-10-03 03:11:00+00:00,1_8
227,1000,0.25,1,10000,2024-10-03 03:11:00+00:00,2024-10-03 03:11:01+00:00,1_8
228,1000,0.25,10,100,2024-10-03 03:11:02+00:00,2024-10-03 03:11:03+00:00,1_8
229,1000,0.25,10,1000,2024-10-03 03:11:03+00:00,2024-10-03 03:11:04+00:00,1_8
230,1000,0.25,10,10000,2024-10-03 03:11:04+00:00,2024-10-03 03:11:05+00:00,1_8
231,1000,0.25,50,100,2024-10-03 03:11:05+00:00,2024-10-03 03:11:06+00:00,1_8
232,1000,0.25,50,1000,2024-10-03 03:11:06+00:00,2024-10-03 03:11:07+00:00,1_8
233,1000,0.25,50,10000,2024-10-03 03:11:07+00:00,2024-10-03 03:11:08+00:00,1_8
234,1000,0.5,1,100,2024-10-03 03:11:09+00:00,2024-10-03 03:11:10+00:00,1_8
235,1000,0.5,1,1000,2024-10-03 03:11:10+00:00,2024-10-03 03:11:11+00:00,1_8
236,1000,0.5,1,10000,2024-10-03 03:11:11+00:00,2024-10-03 03:11:12+00:00,1_8
237,1000,0.5,10,100,2024-10-03 03:11:12+00:00,2024-10-03 03:11:13+00:00,1_8
238,1000,0.5,10,1000,2024-10-03 03:11:13+00:00,2024-10-03 03:11:14+00:00,1_8
239,1000,0.5,10,10000,2024-10-03 03:11:15+00:00,2024-10-03 03:11:16+00:00,1_8
