canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.4,11130532.0,18801,0.2,1,90.0,1.0,1a9df2f7-ebbc-4f99-b643-126f36ba096a,1854216.0,53271.0,72642.8693185517,24441479167.0,67548.0305318058,114228.0973190862,797121313.6183465,1312812393.0677247,52.0,2_16
0.4,11111164.0,18801,0.6,1,90.0,1.0,7c633cbb-4416-447c-83d2-3d72dc95f242,1854216.0,27304.0,47433.783356234286,25958281215.0,70718.75713768484,142143.23634888043,709356735.929532,2283839851.129981,7.0,2_16
0.4,11099488.0,18801,0.6,1,90.0,8.0,184a0931-a1ea-4114-9bad-410e0ed16627,1854216.0,28677.0,50184.64122196767,25958281215.0,72774.53908323353,143931.38598722554,747663292.3719101,2283850726.677401,7.0,2_16
0.2,11107252.0,18801,0.2,1,90.0,8.0,a2fd6946-9b2a-4196-b893-abc210ff0c60,1854216.0,24912.0,56492.38176500551,47487995903.0,70022.09321882896,247723.81869195047,502064731.4707208,1967743044.9493628,26.0,2_16
0.2,11117340.0,18801,0.2,1,90.0,1.0,02532d79-57b8-41a4-83c5-0d5a25a18015,1854216.0,59378.0,136364.85352934257,47818952703.0,61004.70732397763,95451.58889718392,725217307.5924807,660501582.2771778,7372.0,2_16
0.2,11095016.0,18801,0.6,1,90.0,8.0,958752ab-0770-4fd0-83f5-b4842b0dd048,1854216.0,38813.0,60878.84854187343,24732545023.0,46985.51286777109,60379.70313564356,780627324.4974262,323203591.16122067,38.0,2_16
0.2,11088700.0,18801,0.6,1,90.0,1.0,b5c735d3-0782-4757-9f0d-a903534f6bb0,1854216.0,25543.0,43968.44466251698,24732545023.0,36721.12481720857,49895.78909648339,587542020.2284288,321434920.70758486,38.0,2_16
0.4,11107140.0,18801,0.2,1,90.0,8.0,9b467d58-bf29-477b-a1cf-2d0fc36fdce7,1854216.0,41757.0,68677.96522262192,26320326655.0,65710.69093682931,117189.89347302998,791608140.2536985,1311266786.515626,52.0,2_16
0.4,11098152.0,18801,0.2,1,90.0,1.0,64c302c7-573d-4c68-82e5-4aced553bddc,1854216.0,30428.0,53722.47513246459,26320326655.0,57065.37825261,106883.863302088,620356306.743378,1309055127.5606267,53.0,2_16
0.4,11123292.0,18801,0.6,1,90.0,8.0,ff1c826c-ee93-4168-a548-000da0e0d6fd,1854216.0,21803.0,36452.38209507935,25582391295.0,39904.81240217084,63465.33817044644,532973129.4456888,658537317.2472695,7.0,2_16
